,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_weights,param_p,param_n_neighbors,param_algorithm,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
39,0.044858884811401364,0.0010183450544930118,21.71565976142883,1.609182281144523,uniform,1,15,ball_tree,"{'weights': 'uniform', 'p': 1, 'n_neighbors': 15, 'algorithm': 'ball_tree'}",0.7356875,0.7355625,0.732625,0.73125,0.7336875,0.7337625000000001,0.0017063301263237722,33
40,0.044529390335083005,0.003510864111776869,20.708821058273315,1.7270933008747886,distance,2,9,ball_tree,"{'weights': 'distance', 'p': 2, 'n_neighbors': 9, 'algorithm': 'ball_tree'}",0.74875,0.7473125,0.7505,0.74075,0.7456875,0.7465999999999999,0.0033285225701502946,26
41,0.04340839385986328,0.0019445696840929665,20.10021367073059,1.2005385600666865,uniform,2,5,ball_tree,"{'weights': 'uniform', 'p': 2, 'n_neighbors': 5, 'algorithm': 'ball_tree'}",0.7396875,0.7355,0.7333125,0.7335625,0.7325625,0.7349249999999999,0.0025709920264365043,31
42,0.004884195327758789,0.00016799964491137433,2.9853163242340086,0.053564024874722775,uniform,1,11,brute,"{'weights': 'uniform', 'p': 1, 'n_neighbors': 11, 'algorithm': 'brute'}",0.7545,0.7521875,0.749625,0.7460625,0.7471875,0.7499125,0.0031161374327843706,23
43,0.0050699710845947266,8.162847723822526e-05,0.6943110942840576,0.012399641872053889,distance,2,19,brute,"{'weights': 'distance', 'p': 2, 'n_neighbors': 19, 'algorithm': 'brute'}",0.7246875,0.7191875,0.722625,0.7178125,0.7215,0.7211624999999999,0.002441375124801615,40
44,0.045432090759277344,0.002398601078210562,16.194253158569335,0.12929082308163137,distance,1,5,ball_tree,"{'weights': 'distance', 'p': 1, 'n_neighbors': 5, 'algorithm': 'ball_tree'}",0.8105625,0.80975,0.8054375,0.80225,0.806,0.8068,0.0030350556008086316,1
45,0.004776668548583984,0.0002524552358925222,2.927378940582275,0.038959499200982545,uniform,1,13,brute,"{'weights': 'uniform', 'p': 1, 'n_neighbors': 13, 'algorithm': 'brute'}",0.744,0.7411875,0.741125,0.7398125,0.741375,0.7415,0.0013675936896607851,28
46,0.043715476989746094,0.001090997988930779,19.441280174255372,0.34628989263759063,distance,2,7,ball_tree,"{'weights': 'distance', 'p': 2, 'n_neighbors': 7, 'algorithm': 'ball_tree'}",0.7558125,0.75475,0.752375,0.74625,0.7471875,0.7512749999999999,0.003894427108060966,22
47,0.00465860366821289,0.00028525499605130554,0.7467833518981933,0.011194166164242254,uniform,2,15,brute,"{'weights': 'uniform', 'p': 2, 'n_neighbors': 15, 'algorithm': 'brute'}",0.7009375,0.696875,0.6974375,0.6953125,0.6960625,0.697325,0.0019447043477094329,48
48,0.03854689598083496,0.0009113715717940521,20.08750500679016,0.856617363439041,distance,1,5,kd_tree,"{'weights': 'distance', 'p': 1, 'n_neighbors': 5, 'algorithm': 'kd_tree'}",0.8105625,0.80975,0.8054375,0.80225,0.806,0.8068,0.0030350556008086316,1
49,0.03780760765075684,0.0003482905430667219,17.79541668891907,0.3917967686308243,distance,2,15,kd_tree,"{'weights': 'distance', 'p': 2, 'n_neighbors': 15, 'algorithm': 'kd_tree'}",0.7328125,0.729375,0.7295625,0.7265625,0.728875,0.7294375,0.0019996093368455647,34
