,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_warm_start,param_min_samples_leaf,param_max_leaf_nodes,param_max_depth,param_learning_rate,param_l2_regularization,param_early_stopping,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
25,4.2314153671264645,0.1741450836899288,0.28745555877685547,0.03448553820263168,True,30,40,3,0.005,0.4,False,"{'warm_start': True, 'min_samples_leaf': 30, 'max_leaf_nodes': 40, 'max_depth': 3, 'learning_rate': 0.005, 'l2_regularization': 0.4, 'early_stopping': False}",0.669125,0.6689375,0.673375,0.66675,0.66975,0.6695875,0.0021475276482504206,25
26,3.0979568004608153,0.23166290203088308,0.17725720405578613,0.030128982391264218,False,15,40,1,0.1,0.4,True,"{'warm_start': False, 'min_samples_leaf': 15, 'max_leaf_nodes': 40, 'max_depth': 1, 'learning_rate': 0.1, 'l2_regularization': 0.4, 'early_stopping': True}",0.6728125,0.677,0.672625,0.67475,0.6758125,0.6746000000000001,0.0016940152006401869,23
27,6.227395343780517,0.2478858758818371,0.4529019832611084,0.038765358201187435,True,10,25,8,0.001,0.3,True,"{'warm_start': True, 'min_samples_leaf': 10, 'max_leaf_nodes': 25, 'max_depth': 8, 'learning_rate': 0.001, 'l2_regularization': 0.3, 'early_stopping': True}",0.5310625,0.531,0.531,0.531,0.531,0.5310125000000001,2.4999999999986147e-05,32
28,5.278612375259399,0.3594848813397616,0.3337563991546631,0.021585104642189372,False,30,30,9,0.1,0.3,True,"{'warm_start': False, 'min_samples_leaf': 30, 'max_leaf_nodes': 30, 'max_depth': 9, 'learning_rate': 0.1, 'l2_regularization': 0.3, 'early_stopping': True}",0.75175,0.7598125,0.7585,0.7523125,0.756875,0.7558499999999999,0.003258786200412635,7
29,3.8325307369232178,0.2967115812218837,0.24577703475952148,0.038170728994794324,False,20,30,2,0.001,0.5,True,"{'warm_start': False, 'min_samples_leaf': 20, 'max_leaf_nodes': 30, 'max_depth': 2, 'learning_rate': 0.001, 'l2_regularization': 0.5, 'early_stopping': True}",0.5310625,0.531,0.531,0.531,0.531,0.5310125000000001,2.4999999999986147e-05,32
30,6.225780487060547,0.34978231470248417,0.4377443790435791,0.039894812693874245,True,15,45,7,0.05,0.0,True,"{'warm_start': True, 'min_samples_leaf': 15, 'max_leaf_nodes': 45, 'max_depth': 7, 'learning_rate': 0.05, 'l2_regularization': 0.0, 'early_stopping': True}",0.7410625,0.7439375,0.7414375,0.7420625,0.739625,0.741625,0.0014064583179035383,9
31,5.299089479446411,0.25789730601101246,0.36110615730285645,0.026286199883537302,True,10,35,5,0.05,0.0,False,"{'warm_start': True, 'min_samples_leaf': 10, 'max_leaf_nodes': 35, 'max_depth': 5, 'learning_rate': 0.05, 'l2_regularization': 0.0, 'early_stopping': False}",0.72425,0.7304375,0.7260625,0.72575,0.726,0.7264999999999999,0.002077032137449967,13
32,3.905418062210083,0.2226789066697882,0.2498164176940918,0.052064913663903985,False,10,35,2,0.005,0.2,True,"{'warm_start': False, 'min_samples_leaf': 10, 'max_leaf_nodes': 35, 'max_depth': 2, 'learning_rate': 0.005, 'l2_regularization': 0.2, 'early_stopping': True}",0.6290625,0.6295625,0.633,0.6265625,0.6305,0.6297375,0.002087687117362171,27
33,5.621744775772095,0.27977804876331114,0.33341617584228517,0.031934070080848115,True,15,45,9,0.2,0.1,True,"{'warm_start': True, 'min_samples_leaf': 15, 'max_leaf_nodes': 45, 'max_depth': 9, 'learning_rate': 0.2, 'l2_regularization': 0.1, 'early_stopping': True}",0.78825,0.7895,0.782,0.78475,0.78675,0.78625,0.0026504716561397052,1
34,3.751952600479126,0.22540554207954147,0.23825302124023437,0.03853983030342967,False,10,35,2,0.001,0.1,True,"{'warm_start': False, 'min_samples_leaf': 10, 'max_leaf_nodes': 35, 'max_depth': 2, 'learning_rate': 0.001, 'l2_regularization': 0.1, 'early_stopping': True}",0.5310625,0.531,0.531,0.531,0.531,0.5310125000000001,2.4999999999986147e-05,32
