,Unnamed: 0,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_max_features,param_max_depth,param_criterion,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
46,46,58.93604326248169,0.2690678237007441,0.2250442028045654,0.0275634707572003,150,,5,gini,"{'n_estimators': 150, 'max_features': None, 'max_depth': 5, 'criterion': 'gini'}",0.713375,0.7049375,0.70625,0.7090625,0.7045,0.707625,0.0032865730632377,33
27,27,4.812310981750488,0.5909894596819263,0.0191649913787841,0.0023094652089579,10,,5,entropy,"{'n_estimators': 10, 'max_features': None, 'max_depth': 5, 'criterion': 'entropy'}",0.7120625,0.7039375,0.703875,0.707625,0.702875,0.706075,0.0034029858213045,34
41,41,11.041512823104858,0.3012013373460052,0.2210222721099853,0.0271411421337973,150,log2,5,gini,"{'n_estimators': 150, 'max_features': 'log2', 'max_depth': 5, 'criterion': 'gini'}",0.6675,0.6654375,0.656375,0.6728125,0.6648125,0.6653875,0.0053132205393715,35
11,11,8.40616192817688,0.6187268288608272,0.1477023124694824,0.0169552742306091,100,log2,5,entropy,"{'n_estimators': 100, 'max_features': 'log2', 'max_depth': 5, 'criterion': 'entropy'}",0.6670625,0.66575,0.6564375,0.665875,0.6645625,0.6639375,0.0038326312762904,36
19,19,8.372981309890747,0.5731439868228788,0.1467984199523925,0.0185410707378446,100,sqrt,5,entropy,"{'n_estimators': 100, 'max_features': 'sqrt', 'max_depth': 5, 'criterion': 'entropy'}",0.666625,0.66425,0.6570625,0.66575,0.664375,0.6636125,0.0033921785035578,37
0,0,14.84164113998413,3.69637574858047,0.2109814643859863,0.0059026128199598,150,sqrt,5,entropy,"{'n_estimators': 150, 'max_features': 'sqrt', 'max_depth': 5, 'criterion': 'entropy'}",0.668375,0.6643125,0.65525,0.666375,0.6626875,0.6634,0.0045025340087555,38
31,31,8.456912088394166,0.6169409978118363,0.1480578899383545,0.0207782885117972,100,sqrt,5,log_loss,"{'n_estimators': 100, 'max_features': 'sqrt', 'max_depth': 5, 'criterion': 'log_loss'}",0.666625,0.6608125,0.6595,0.6651875,0.664,0.663225,0.0026723702026478,39
3,3,8.501065397262574,0.5842103382443458,0.1581409454345703,0.0187087922305121,100,log2,5,log_loss,"{'n_estimators': 100, 'max_features': 'log2', 'max_depth': 5, 'criterion': 'log_loss'}",0.6665625,0.6609375,0.656,0.667375,0.6621875,0.6626125,0.0041229919354759,40
33,33,0.8043124675750732,0.0265700168215095,0.0170321941375732,0.0002175881885941,10,sqrt,5,log_loss,"{'n_estimators': 10, 'max_features': 'sqrt', 'max_depth': 5, 'criterion': 'log_loss'}",0.6595,0.6575625,0.6596875,0.6559375,0.6634375,0.659225,0.0025142096173549,41
32,32,7.051617002487182,0.5570137542817071,0.0481781005859375,0.0008414623155094,40,,2,gini,"{'n_estimators': 40, 'max_features': None, 'max_depth': 2, 'criterion': 'gini'}",0.65575,0.6434375,0.6455,0.64225,0.651625,0.6477125,0.0051559431726891,42
28,28,20.219253063201904,0.5171014955889945,0.120084810256958,0.0138366959091602,100,,2,entropy,"{'n_estimators': 100, 'max_features': None, 'max_depth': 2, 'criterion': 'entropy'}",0.6511875,0.6433125,0.6451875,0.6429375,0.6479375,0.6461125000000001,0.003093945700881,43
13,13,30.645686435699464,0.3081867256985143,0.1836451530456543,0.0198083759810793,150,,2,log_loss,"{'n_estimators': 150, 'max_features': None, 'max_depth': 2, 'criterion': 'log_loss'}",0.6506875,0.6429375,0.6451875,0.642625,0.6479375,0.645875,0.0030684890418575,44
29,29,2.126897859573364,0.3537172879139953,0.0150659084320068,0.0017418264647192,10,,2,entropy,"{'n_estimators': 10, 'max_features': None, 'max_depth': 2, 'criterion': 'entropy'}",0.65,0.643625,0.6451875,0.6423125,0.6479375,0.6458125000000001,0.0028098598719509,45
12,12,1.5147719383239746,0.0361519333445364,0.0486872673034668,0.0057013020501282,40,log2,2,entropy,"{'n_estimators': 40, 'max_features': 'log2', 'max_depth': 2, 'criterion': 'entropy'}",0.5934375,0.60175,0.6070625,0.6070625,0.5926875,0.6003999999999999,0.0063017358719641,46
23,23,0.4110982894897461,0.0204136746672383,0.013979148864746,0.00010145425211,10,log2,2,entropy,"{'n_estimators': 10, 'max_features': 'log2', 'max_depth': 2, 'criterion': 'entropy'}",0.59625,0.5815,0.6018125,0.6014375,0.615875,0.599375,0.0110609815342038,47
14,14,4.333363246917725,0.4965431385321162,0.1222609519958496,0.0148523918413345,100,sqrt,2,log_loss,"{'n_estimators': 100, 'max_features': 'sqrt', 'max_depth': 2, 'criterion': 'log_loss'}",0.5956875,0.602375,0.596125,0.60425,0.5941875,0.598525,0.0040055820426,48
45,45,6.3703320026397705,0.5180507624046461,0.1774760246276855,0.0186508628921007,150,log2,2,log_loss,"{'n_estimators': 150, 'max_features': 'log2', 'max_depth': 2, 'criterion': 'log_loss'}",0.5909375,0.5944375,0.5983125,0.6004375,0.5965,0.596125,0.0032643912143001,49
39,39,4.352086305618286,0.3631425454597048,0.1292029857635498,0.0171891693994396,100,log2,2,log_loss,"{'n_estimators': 100, 'max_features': 'log2', 'max_depth': 2, 'criterion': 'log_loss'}",0.590375,0.6005,0.596,0.59325,0.59525,0.5950750000000001,0.0033387872049593,50
