,Unnamed: 0,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_warm_start,param_min_samples_leaf,param_max_leaf_nodes,param_max_depth,param_learning_rate,param_l2_regularization,param_early_stopping,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
32,32,3.905418062210083,0.2226789066697882,0.2498164176940918,0.0520649136639039,False,10,35,2,0.005,0.2,True,"{'warm_start': False, 'min_samples_leaf': 10, 'max_leaf_nodes': 35, 'max_depth': 2, 'learning_rate': 0.005, 'l2_regularization': 0.2, 'early_stopping': True}",0.6290625,0.6295625,0.633,0.6265625,0.6305,0.6297375,0.0020876871173621,27
9,9,5.610664081573487,0.3429380326668672,0.3590444564819336,0.0287299497545475,False,15,35,5,0.002,0.2,False,"{'warm_start': False, 'min_samples_leaf': 15, 'max_leaf_nodes': 35, 'max_depth': 5, 'learning_rate': 0.002, 'l2_regularization': 0.2, 'early_stopping': False}",0.5743125,0.57775,0.5820625,0.57725,0.576875,0.57765,0.0025051821291075,28
1,1,5.6098816871643065,0.2645764182928724,0.411661434173584,0.033056086110613,False,10,25,6,0.002,0.0,True,"{'warm_start': False, 'min_samples_leaf': 10, 'max_leaf_nodes': 25, 'max_depth': 6, 'learning_rate': 0.002, 'l2_regularization': 0.0, 'early_stopping': True}",0.575875,0.57275,0.578,0.5765,0.5745625,0.5755374999999999,0.0017790446874657,29
42,42,3.080528736114502,0.1892993918738401,0.1614510059356689,0.0297337289187231,False,15,20,1,0.005,0.0,True,"{'warm_start': False, 'min_samples_leaf': 15, 'max_leaf_nodes': 20, 'max_depth': 1, 'learning_rate': 0.005, 'l2_regularization': 0.0, 'early_stopping': True}",0.5680625,0.5774375,0.571,0.5715625,0.572,0.5720125,0.0030417408666748,30
4,4,4.154746341705322,0.3548261594732826,0.2662562847137451,0.0223818316551156,False,25,20,3,0.002,0.1,True,"{'warm_start': False, 'min_samples_leaf': 25, 'max_leaf_nodes': 20, 'max_depth': 3, 'learning_rate': 0.002, 'l2_regularization': 0.1, 'early_stopping': True}",0.533,0.531,0.5379375,0.5360625,0.53675,0.53495,0.0025615547036906,31
0,0,7.132626628875732,1.3362002002544642,0.4397304534912109,0.0450179748350923,True,15,20,10,0.001,0.3,False,"{'warm_start': True, 'min_samples_leaf': 15, 'max_leaf_nodes': 20, 'max_depth': 10, 'learning_rate': 0.001, 'l2_regularization': 0.3, 'early_stopping': False}",0.5310625,0.531,0.531,0.531,0.531,0.5310125000000001,2.4999999999986147e-05,32
38,38,5.946608304977417,0.3569867109411302,0.4085501194000244,0.015022348442936,True,20,20,8,0.0002,0.4,False,"{'warm_start': True, 'min_samples_leaf': 20, 'max_leaf_nodes': 20, 'max_depth': 8, 'learning_rate': 0.0002, 'l2_regularization': 0.4, 'early_stopping': False}",0.5310625,0.531,0.531,0.531,0.531,0.5310125000000001,2.4999999999986147e-05,32
36,36,3.056031608581543,0.1934898092903207,0.1606654644012451,0.02576094744724,True,25,20,1,0.001,0.3,True,"{'warm_start': True, 'min_samples_leaf': 25, 'max_leaf_nodes': 20, 'max_depth': 1, 'learning_rate': 0.001, 'l2_regularization': 0.3, 'early_stopping': True}",0.5310625,0.531,0.531,0.531,0.531,0.5310125000000001,2.4999999999986147e-05,32
37,37,3.697215127944946,0.2763166919652173,0.252535343170166,0.0312337828779547,True,15,45,2,0.002,0.5,False,"{'warm_start': True, 'min_samples_leaf': 15, 'max_leaf_nodes': 45, 'max_depth': 2, 'learning_rate': 0.002, 'l2_regularization': 0.5, 'early_stopping': False}",0.5310625,0.531,0.531,0.531,0.531,0.5310125000000001,2.4999999999986147e-05,32
41,41,3.640087366104126,0.2251901652731485,0.22460618019104,0.0275413253235626,True,10,30,2,0.0001,0.1,False,"{'warm_start': True, 'min_samples_leaf': 10, 'max_leaf_nodes': 30, 'max_depth': 2, 'learning_rate': 0.0001, 'l2_regularization': 0.1, 'early_stopping': False}",0.5310625,0.531,0.531,0.531,0.531,0.5310125000000001,2.4999999999986147e-05,32
24,24,7.455518674850464,0.3282115260088745,0.47850022315979,0.0237197277018144,False,15,45,9,0.0005,0.1,True,"{'warm_start': False, 'min_samples_leaf': 15, 'max_leaf_nodes': 45, 'max_depth': 9, 'learning_rate': 0.0005, 'l2_regularization': 0.1, 'early_stopping': True}",0.5310625,0.531,0.531,0.531,0.531,0.5310125000000001,2.4999999999986147e-05,32
29,29,3.8325307369232178,0.2967115812218837,0.2457770347595214,0.0381707289947943,False,20,30,2,0.001,0.5,True,"{'warm_start': False, 'min_samples_leaf': 20, 'max_leaf_nodes': 30, 'max_depth': 2, 'learning_rate': 0.001, 'l2_regularization': 0.5, 'early_stopping': True}",0.5310625,0.531,0.531,0.531,0.531,0.5310125000000001,2.4999999999986147e-05,32
27,27,6.227395343780517,0.2478858758818371,0.4529019832611084,0.0387653582011874,True,10,25,8,0.001,0.3,True,"{'warm_start': True, 'min_samples_leaf': 10, 'max_leaf_nodes': 25, 'max_depth': 8, 'learning_rate': 0.001, 'l2_regularization': 0.3, 'early_stopping': True}",0.5310625,0.531,0.531,0.531,0.531,0.5310125000000001,2.4999999999986147e-05,32
20,20,4.637775468826294,0.2477528737419952,0.3137181282043457,0.0253424983664346,False,20,45,4,0.0001,0.3,False,"{'warm_start': False, 'min_samples_leaf': 20, 'max_leaf_nodes': 45, 'max_depth': 4, 'learning_rate': 0.0001, 'l2_regularization': 0.3, 'early_stopping': False}",0.5310625,0.531,0.531,0.531,0.531,0.5310125000000001,2.4999999999986147e-05,32
